,Brand,0
818,Taapsee Pannu and Vicky Kaushal Abhishek Bachchan,1
819,Technix,2
820,Techsun Mart,1
821,Tefal,1
822,Teflon,1
823,Tempo,1
824,Terabyte,5
825,Tewtross,1
826,Thames,2
827,The Clownfish,1
828,The Entertainment Store,2
829,The Flyers Bay,1
830,Think Infotech,1
831,Tima,1
832,Tiny Deal,1
833,Titan,3
834,TnW,1
835,Tom Mison,1
836,Topps,1
837,Tosaa,2
838,Tottenham Hotspur F.C.,1
839,TotzTouch,1
840,Toyshine,1
841,Trajectory,3
842,Trance Home Linen,1
843,Travelsky,1
844,Trendz Handpicked,2
845,Treo,1
846,Treo By Milton,2
847,Trexee,1
848,Tripole,1
849,Trumom,1
850,Tulsi,1
851,Tupperware,2
852,Tye Sheridan,1
853,UBI Soft,2
854,URBAN FOREST,5
855,Uncle Milton,1
856,United Lethargic,1
857,United's,1
858,Unknown,1
859,Upix,3
860,Urban Home,1
861,Urban Republic,4
862,Usha,9
863,Ustad Amjad Ali Khan,1
864,V.T.I.,1
865,VARIOUS,1
866,VAULT,1
867,VB Retail,1
868,VEMAX,1
869,VIP,1
870,VOODANIA,1
871,VU,1
872,ValueShop,1
873,Vardhman,1
874,Various,3
875,Various Artists,1
876,Vector X,3
877,Vectora,1
878,Vega,3
879,Vicky,1
880,Vikas gift gallery,1
881,Vintage,1
882,Virtual World,1
883,Vivek Oberoi,1
884,Voltas,12
885,Voxpop,9
886,WASAN,1
887,WB Games,2
888,WELROCK,1
889,WHITE POPCORN SPEED,1
890,WILDEDGE,1
891,WINDEK,1
892,WINTECH,2
893,WOBBOX,5
894,WOODY,1
895,WRIGHT,1
896,Waxpol,1
897,Wayona,3
898,Webby,3
899,Welcare,1
900,Wellon,1
901,WensLTD,1
902,Western Digital,3
903,Wet 'n Wild,1
904,Whirlpool,9
905,Whitelily,1
906,Wifi,1
907,WildHorn,14
908,Wildcraft,6
909,Wildstags,1
910,Wintech,1
911,Wipro,6
912,WonderKart,1
913,Wonderchef,2
914,Wonderford,3
915,Wright,1
916,XERGY,1
917,XElectron,1
918,YI,3
919,YKS,1
920,Yamaha,4
921,YeahiBaby,1
922,Yellow Weaves,2
923,Yogasya,1
924,Yonex,27
925,ZAAMBUTECH,2
926,ZAPTIN,1
927,ZORO,2
928,ZURU BUNCH,1
929,Zaptin™,1
930,Zebronics,3
931,Zebronics-Intel,1
932,Zippo,1
933,Zofey,1
934,Zoook,1
935,a k,1
936,a k creation,1
937,billionBAG,1
938,capriff,1
939,captcha,2
940,cmbear,1
941,eHub,2
942,flying CLOUDS,1
943,friends & company,1
944,happytech,1
945,hopesunkhc,1
946,i-Heir,1
947,iBall,10
948,iNinja Tools,1
949,iVoltaa,1
950,iZED,1
951,incho,1
952,jungal,1
953,junos,1
954,king shine,1
955,lovelyhome,1
956,metors,1
957,mi,5
958,mtuggar,1
959,oyrl,2
960,rts,1
961,smarteefi,2
962,stealkart,1
963,vini yoga mat,1
964,wildmount,1
965,zhart,1
