,Seller,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
1980,Penz Solutions,3.0533333333333332,4.587999999999999,4.121333333333334,4.3773333333333335,3.818429215284408
1981,Per Day Deal,3.1666666666666665,4.8,4.6000000000000005,4.8,4.274021568719893
1982,Perfect Online Deals,2.5750487329434697,4.320116959064327,4.068460038986355,4.0948538011695925,3.416450552055275
1983,Perfect Pricee,3.75,4.3149999999999995,3.7749999999999995,3.7625,3.565388460105471
1984,Perfect Sales India,3.082222222222222,4.204888888888889,3.6056666666666666,3.343944444444445,3.0824506814390067
1985,Perfect world computer,2.7142857142857144,4.264285714285714,3.764285714285714,3.9535714285714287,3.279826341666427
1986,PerryFerric Retail,2.6153846153846154,4.046153846153846,3.5384615384615383,3.384615384615384,2.8538212342146494
1987,Perusal,3.142857142857143,4.385714285714286,3.7571428571428567,3.4499999999999997,3.2753738149604166
1988,Pet Hub,3.25,4.285000000000001,3.725,3.4875,3.26799987736784
1989,Pet adda,3.3944444444444444,4.471666666666666,3.8530555555555552,3.6237500000000002,3.494381339332213
1990,PetSutra,3.0,4.326666666666667,4.06,3.53,3.334665557459719
1991,Pets Kingdom,3.8026315789473686,4.647368421052631,3.952631578947368,3.877631578947369,3.8365951388618877
1992,Photoking Retail,3.543650793650794,4.428174603174604,4.093650793650793,4.24484126984127,3.843185491727716
1993,PickTheDeal,2.452054794520548,3.6123287671232873,3.1150684931506842,3.4999999999999996,2.508310584186506
1994,Pilot Sports,3.9909090909090907,4.4840909090909085,4.122272727272726,4.056590909090908,3.948997431623911
1995,Pilot Sports Co.,4.1045454545454545,4.445454545454545,3.9218181818181814,4.013181818181819,3.884386469783973
1996,Planet India,3.155555555555556,4.5122222222222215,4.125555555555556,4.120555555555556,3.7190392612445677
1997,Play Panda,3.4,4.673333333333333,4.240000000000001,3.8200000000000003,3.7924594714307487
1998,Playmart India,3.4532520325203255,4.267184035476719,3.9046932742054716,3.6789726533628975,3.459277966741907
1999,Plenzo,2.5,3.9,3.5,3.0,2.5889155822984513
2000,Plus Kart SLP,3.666666666666667,4.6380952380952385,4.166666666666667,3.9166666666666665,3.875170490147229
2001,Plus Point Marketing,3.5921985815602837,4.459751773049645,3.8232269503546097,3.707712765957446,3.5750942302550364
2002,PointHai Com,0.7857142857142857,4.414285714285714,4.414285714285714,4.414285714285714,3.1227976729605955
2003,Pooja Concepts,2.833333333333333,4.545714285714285,4.12,3.4766666666666666,3.3796530887886007
2004,Pooja electricals & hardwares,1.4827586206896552,4.117241379310345,3.979310344827587,4.048275862068966,2.925696325994994
2005,Popscart,3.2222222222222223,4.665555555555556,4.293333333333335,4.3133333333333335,3.940441058137963
2006,Popular Electronics Mumbai,2.9636363636363634,4.527272727272728,4.224015151515153,4.305946969696971,3.768721294292313
2007,Positive connections,2.6666666666666665,4.2,4.2,4.2,3.4760596303941105
2008,Pournami Engineering Solutions,2.5,3.95,3.7,3.1,2.7169456181175184
2009,Power fit,4.666666666666667,4.741666666666667,4.533333333333333,4.6,4.630196319888476
2010,Power-Fit,3.6,4.456666666666666,3.940000000000001,3.770000000000001,3.6392471923745306
2011,PowerPak CameraZone,2.7905797101449274,4.308840579710146,4.007246376811594,3.9047101449275354,3.386650805899313
2012,Powermax Fitness India Pvt. Ltd.,3.5714285714285716,4.428571428571429,3.914285714285714,3.7428571428571433,3.5982632173131828
2013,Prabha security,3.9545454545454546,4.590909090909091,3.622727272727273,4.5159090909090915,3.9967862796271283
2014,Prachi Computers,3.8636363636363638,4.636363636363637,3.6727272727272737,4.413636363636363,3.9652512551661037
2015,Prana Air,3.75,4.85,4.225,3.9875,4.044773669646058
2016,Prayag enterprises,2.666666666666667,4.3999999999999995,4.1000000000000005,3.3833333333333333,3.2173125580489437
2017,Premier Appliances N Electricals,1.8800000000000001,4.063,3.8979999999999997,3.8890000000000002,2.9400953007142867
2018,Premium-Design,3.1898989898989902,4.146717171717173,3.5755050505050514,3.6372474747474755,3.1941415042240493
2019,Premium-X,4.333333333333333,4.661904761904762,3.483333333333334,3.9083333333333323,3.869148822737588
2020,Presidency Cycles,3.555555555555556,4.1722222222222225,3.6222222222222222,3.5888888888888886,3.3201079812103833
2021,Pretty Krafts,1.7142857142857142,4.228571428571429,4.085714285714285,2.9,2.641764349099045
2022,Prettyia IN,3.2634408602150535,4.219032258064516,3.7120430107526876,3.487741935483872,3.238221444765904
2023,Price Perfect Enterprises,4.5,4.74,4.075,4.2875,4.302106502903195
2024,Prilin Enterprises,3.1999999999999997,4.3,3.5,3.35,3.1304840433929386
2025,Primarc Pecan Retail,3.404761904761905,4.352380952380953,3.8630952380952377,3.6339285714285716,3.4509690026982263
2026,Prime Stationary,2.8947368421052633,4.454385964912281,4.0017543859649125,4.132456140350877,3.5723217194716277
2027,Prime Store(ME),2.25,4.239285714285714,4.0249999999999995,3.1374999999999997,2.890469401495675
2028,Prime Trader,2.0,3.733333333333334,3.1,3.733333333333334,2.5030328223282123
2029,Prime World,3.625,4.4,3.600000000000001,4.4,3.7519763760872435
2030,Prime-Global,4.1,4.699999999999999,4.115,4.53875,4.265953195617149
2031,Primedeal™,2.5454545454545454,3.654545454545456,2.700000000000001,3.654545454545456,2.4788199133292506
2032,Prince Enterprise India,3.125,4.4375,3.9450000000000003,3.534999999999999,3.388618970095985
2033,Prince products,3.0681818181818183,4.365151515151514,3.914646464646464,3.491414141414141,3.310606859021389
2034,Prince-Mobile,1.1428571428571428,4.428571428571429,4.428571428571429,4.428571428571429,3.2543676343439065
2035,Printdoot Corporation,3.7271739130434782,4.629855072463767,4.177137681159419,4.401068840579709,4.081793642420578
2036,Pritam Music Pvt. Ltd.,3.6674957482993196,4.472234268707487,3.8423158240569,3.754905786178112,3.6295768817891116
2037,Pritroniks Technologies,3.8461538461538463,4.792307692307692,4.099999999999998,4.792307692307692,4.319245928565794
2038,Pro Active Sports,3.625,4.5525,3.8875,3.75625,3.6678509582578456
2039,Pro Gadget India,4.8,4.8,3.375,4.0874999999999995,4.114888738252938
2040,Pro Smart IT Solutions,1.3076923076923077,4.200000000000001,4.1000000000000005,3.9730769230769236,2.918049161787035
2041,ProAudioVideo,3.1730886850152906,4.361605504587159,4.080068807339452,4.216945718654436,3.678595726518013
2042,Profitech Communication™,2.923076923076923,4.212307692307693,3.3353846153846165,3.9446153846153846,3.176906175997715
2043,Proshop,2.3333333333333335,4.416666666666666,4.299999999999999,4.416666666666666,3.5841918921261136
2044,Prosol Technologies,3.3333333333333335,4.7,4.1000000000000005,4.7,4.076878739041604
2045,Protech.,3.325396825396825,4.443650793650794,3.7388888888888894,4.19404761904762,3.6420677195825832
2046,Protokart,3.75,4.4624999999999995,3.83,4.2025,3.820754708637457
2047,Proton Delhi,2.536601307189543,4.460686274509804,4.112647058823529,4.251584967320266,3.5431182844485782
2048,Proton mumbai,3.482286634460547,4.47753623188406,4.146135265700485,4.3422302737520155,3.9009935044229174
2049,Pruthvik Enterprise,3.1333333333333333,4.105,3.5916666666666677,3.9225000000000003,3.272818793794956
2050,PudongIN,1.2,3.8000000000000003,3.8000000000000003,2.5,2.032329292833672
2051,Puma Sports India,3.0,4.171428571428572,3.8,3.4,3.1273646448080497
2052,Punnkk,3.6,4.3,3.5,4.3,3.626618366016375
2053,Pup Kart,3.555128205128205,4.321794871794871,3.732564102564102,3.6438461538461544,3.4457618822422997
2054,Pupkart,2.7015873015873018,4.157539682539682,3.7833333333333328,3.2424603174603184,2.958636349168014
2055,Q Tech Engineering,3.166666666666667,4.09047619047619,3.833333333333333,3.5,3.1940912694749723
2056,QFX9,2.798290598290598,4.351196581196581,3.9255555555555555,3.9670512820512807,3.405184887547639
2057,QUALITY TEAM-AMZ,3.5,4.15,3.75,3.625,3.3487707501753463
2058,QUARTZITE™,3.466666666666667,4.633333333333334,4.033333333333334,4.3500000000000005,3.931907443096203
2059,QUICKMART,2.6666666666666665,4.133333333333334,3.600000000000001,4.133333333333334,3.2199795500771957
2060,QUIDDITY RETAILS LLP,2.9435897435897433,4.432948717948718,3.9060256410256406,3.424807692307692,3.272610159641633
2061,Qc_checked,3.6666666666666665,4.266666666666667,3.600000000000001,4.266666666666667,3.653408880509049
2062,Qilya,0.6,4.0,4.0,4.0,2.577051097975688
2063,Quace Solutions,1.0,3.97,3.95,2.4749999999999996,2.0853681694468427
2064,Quality Gadgets,3.238095238095238,4.256547619047619,3.8601190476190474,3.9133928571428576,3.4611255266370526
2065,Quality WIth Satisfaction Shop,3.0974358974358975,4.3110256410256405,3.772564102564102,3.435,3.2262912289965864
2066,Qualitymartss,2.1999999999999997,4.191666666666666,3.775,2.9875000000000003,2.711424623607851
2067,Querencia,3.5,4.397619047619048,4.1833333333333345,3.8416666666666663,3.6892409069235885
2068,QuicKart (3-Strips),2.833333333333333,4.164285714285714,3.7499999999999996,3.291666666666667,3.011964080580235
2069,Quims,3.75,4.68,4.0625,3.90625,3.8821653170339374
2070,Quinze Products,3.0,4.319047619047619,4.033333333333333,3.516666666666666,3.317163626216788
2071,QwickDeal Online Shopping Private Limited,3.6464480874316942,4.556010928961749,3.7917486338797817,4.479754098360655,3.924320641571861
2072,QwikCilver Solutions Pvt. Ltd,2.7934782608695654,4.404347826086956,4.190217391304347,4.404347826086956,3.6851568209562267
2073,R & R,1.0,4.091666666666668,4.0249999999999995,2.5124999999999997,2.1799824450585574
