,Seller,Product,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4691,Gravity IT,"LG 22 inch Full HD Monitor - TN Panel with VGA, DVI, HDMI Port - 22M38D (Black)",2.5,3.966666666666667,3.600000000000001,3.966666666666667,3.014834139755129
4692,Great Indian Sale,LG 108 cm (43 Inches) 4K UHD LED Smart TV 43UK6360PTE (Brown) (2018 model),4.052631578947368,4.778947368421052,4.1157894736842096,4.594736842105263,4.295464182742231
4693,Great Indian Sale,Sony Microvault 32GB USB Drive (Black),3.5,4.3125,3.5,4.3125,3.5921336555565997
4694,Green Mart India,Usha EI 3602 1000-Watt Lightweight Dry Iron (ICY Blue),2.9,4.5,4.0,4.5,3.724624891473484
4695,Green Mart India,Usha IH2415 1500-Watt Immersion Heater (Silver),2.82,4.458,4.018,4.219,3.576573953823912
4696,GreenWood Organic & Bamboo clothing,"MOM'S HOME Organic Cotton Baby Muslin Swaddle (Multicolour, 92x92 cm) - Pack of 3",2.833333333333333,4.3500000000000005,3.9499999999999997,3.391666666666666,3.1869465247217184
4697,Greener One,"Generic 24 images Spiderman Projector Watch for Kids, Diwali Gift, Birthday Return Gift (Colour May Vary)",3.0,4.403333333333333,3.4200000000000004,3.2099999999999995,3.0155309028607094
4698,Greeneye Technology,"Greeneye Technology Gold & Black Spy Pen Camera with Audio/Video Recording,up to 32GB Card supportable",2.8974358974358974,4.156410256410256,3.5564102564102567,3.765384615384615,3.1343227730293446
4699,Grey Stone,Boat BassHeads 900 Wired Headphone with Mic,3.6799999999999997,4.625,4.155,4.407500000000001,4.046991952633928
4700,Grey Stone,Boat Stone 1000 Bluetooth Speaker with Monstrous Sound,3.210526315789474,4.526315789473684,4.252631578947368,4.205263157894737,3.805977207635509
4701,Grey Stone,Saregama Carvaan Premium Portable Digital Music Player (Royal Blue),3.875,4.6000000000000005,3.899999999999999,4.6000000000000005,4.087821884180914
