,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,AO Smith HSE-VAS-015-15-Litre Storage Water Heater (White),AllaboutElectronics,Galaxy Shopee,Galaxy Shopee,Galaxy Shopee,Cloudtail India,Galaxy Shopee,Galaxy Shopee
0,D3D Wireless HD IP Wifi CCTV Indoor Security Camera (Support upto 128 GB Micro SD card) (Black Color) Model:D8801,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.
0,boAt Bass Heads 225 in-Ear Headphones with Mic (Forest Green),Meera-Enterprises,Meera-Enterprises,Meera-Enterprises,Meera-Enterprises,Meera-Enterprises,Meera-Enterprises,Appario Retail Private Ltd
0,Boat BassHeads 900 Wired Headphone with Mic,DELYTZ,DELYTZ,A- One Electronics,Khushi NX,Khushi NX,A- One Electronics,Mahaveerelectronics
0,Crompton Solarium DLX IWH03PC1 3-Litre Instant Water Heater (Ivory),k3_stores,k3_stores,k3_stores,k3_stores,k3_stores,k3_stores,Ashapura electricals.
0,Nikon D3400 Digital Camera Body (Black) with Card and DSLR Bag,price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,price..perfect
0,"CP Plus Intelli Eye Full HD CCTV Camera Kit 2 2mp Dome, 2 2mp Bullet Camera, 1TB Hard Disk, Power Supply, 4 18m Cable With Connectors, 4 DC Pins",TECHNOLOGY GURU,TECHNOLOGY GURU,TECHNOLOGY GURU,TECHNOLOGY GURU,TECHNOLOGY GURU,TECHNOLOGY GURU,TECHNOLOGY GURU
0,Sony PS4 Slim 1TB Console (Free Game: Red Dead II Redemption),SAMEO,SAMEO,SAMEO,SAMEO,SAMEO,SAMEO,GAMES BABA
0,Morphy Richards Inspira 1000-Watt Dry Iron (White and Black),lowprice bazaar,Home & Kitchen Gallery,A.E.I.M CORP,A.E.I.M CORP,A.E.I.M CORP,A.E.I.M CORP,A.E.I.M CORP
0,[Sponsored]Farraige® 4K2K HD/DV Full Copper Digital Optical Audio Toslink Cable for 3D/LED/Plasma TV (10 Feet/3 Meters) 1 Year Warranty,Farraige Official,Farraige Official,Farraige Official,Farraige Official,Farraige Official,Farraige Official,Farraige Official
0,boAt Nirvanaa Uno in-Ear Earphones with Mic (Black),RAJA BAZAAR,Appario Retail Private Ltd,MM Sales Corporation,MM Sales Corporation,MM Sales Corporation,MM Sales Corporation,Express Delivery Retail
0,JBL Flip 3 Stealth Waterproof Portable Bluetooth Speaker (Black),Rama's Shop Packers,Rama's Shop Packers,Rama's Shop Packers,Rama's Shop Packers,Rama's Shop Packers,Rama's Shop Packers,Rama's Shop Packers
0,Kadence Notation Stand,CHENNAIMUSICALS,CHENNAIMUSICALS,medley musicals,medley musicals,LOVEMUSIC,medley musicals,LOVEMUSIC
0,Canon EOS 1300D 18MP Digital SLR Camera Body (Black),price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,Shop Your World Store
0,Rewy Teconica Q7 Karaoke Handheld Singing Machine with audio recording (Multicolor),shanti enterprisess,Source India Store,krishnaa sales,krishnaa sales,krishnaa sales,krishnaa sales,krishnaa sales
