,Seller,Brand,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
1742,Discount Retail,Discount Retail,3.833333333333333,4.4642857142857135,3.95,3.8916666666666666,3.7616040369836496
1743,Discount Retail,WOBBOX,3.127083333333333,4.339375,3.894375,3.510729166666667,3.31248242871859
1744,DiscounteDeals,Aai,1.8571428571428572,4.085714285714285,3.814285714285714,2.8357142857142854,2.50230209578379
1745,DiscounteDeals,DFS,1.75,4.0249999999999995,3.6999999999999997,4.0249999999999995,2.8640213659825533
1746,DiscounteDeals,MK,4.0,4.666666666666667,3.9800000000000004,3.9900000000000007,3.9546034321947694
1747,DiscounteDeals,RainSound,3.1999999999999997,4.276666666666667,3.7600000000000002,3.48,3.250688304440925
1748,DiscounteDeals,SmallAll,2.768181818181818,4.3568181818181815,3.965909090909091,3.367045454545455,3.1735167071901227
1749,DiscounteDeals,VB Retail,4.666666666666666,4.70952380952381,3.6833333333333336,4.175,4.160210589462924
1750,DiscounteDeals,iNinja Tools,2.5,4.25,4.15,3.325,3.084547313368367
1751,Dishani Computers,Portronics,2.625,4.549999999999999,4.3999999999999995,4.549999999999999,3.8191480435292204
1752,Divyansh sales & trade co.,GLUN,3.0025252525252526,4.2785353535353545,3.7542929292929292,3.814772727272727,3.3163164796359834
1753,Diycomponents,Raspberry Pi,2.4,4.430833333333333,4.234999999999999,4.238333333333332,3.517129994105104
1754,Dj Pundits,Behringer,3.5105263157894737,4.598684210526316,3.9513157894736843,4.099342105263157,3.799955846438453
1755,Door_To_Door,TATASKY,3.3333333333333335,4.2,2.6000000000000005,4.2,3.150662139997962
1756,Doublexstand,Kadence,2.652173913043478,4.443478260869565,3.9434782608695658,4.002173913043478,3.4145450250021185
1757,Dr HEALTH,Sterillium,3.8000000000000003,4.31,3.86,3.8299999999999996,3.627226531790215
1758,Dr.Copper,Dr. Copper,3.666666666666667,4.304761904761905,4.033333333333333,3.85,3.6478281492985793
1759,DreamKraft™,AraNxt,4.333333333333333,4.408333333333333,3.6666666666666665,4.0,3.8438838912094235
1760,Dreamtrix,Cello,3.2857142857142856,4.371428571428571,3.7999999999999994,4.371428571428571,3.680346700827914
1761,Ducant India,MamyPoko,4.6000000000000005,4.6499999999999995,4.28,4.4399999999999995,4.4142016104250885
1762,Ducant India,Pampers,4.285714285714286,4.6571428571428575,3.871428571428571,4.078571428571429,4.03993241329269
1763,Durga Sales Corporations,Kent,3.333333333333333,4.075,3.7,3.5166666666666666,3.196494622799376
1764,Durga234,AVM,4.666666666666667,4.666666666666667,3.8666666666666667,4.266666666666667,4.237693200597742
1765,Dutta Trader,Generic,4.333333333333333,4.647619047619047,3.5000000000000004,3.916666666666667,3.863930301201793
1766,Dyson India,Dyson,2.0,4.5,4.25,4.5,3.526819247585015
1767,E MALL INDIA,GLUN,3.2058823529411766,4.336274509803921,3.753921568627451,3.979901960784314,3.4715163165216194
1768,E MALL INDIA,Whitelily,3.5789473684210527,4.442105263157895,3.607894736842106,4.1197368421052625,3.6443165154525574
1769,E shopping ( Virag Stores ),Generic,3.0,4.316666666666667,4.2,3.6,3.398287558705265
1770,E shopping ( Virag Stores ),RainSound,4.0,4.6,3.675,3.8375,3.7633826249387066
1771,E-APPLIANCES,Pigeon,3.0,4.285714285714286,3.814285714285714,3.4071428571428575,3.180563493573094
1772,E-APPLIANCES,Prestige,3.3333333333333335,4.566666666666666,3.6999999999999997,4.566666666666666,3.826162164728825
1773,E-BUY,Generic,2.9717391304347824,3.9108695652173915,3.316086956521739,3.622173913043479,2.9192003359420973
1774,E-Emporium,Bajaj,4.013333333333334,4.724666666666667,4.028,4.594,4.235569967403515
1775,E-Emporium,Orient,3.711111111111111,4.511111111111111,3.8744444444444444,4.2461111111111105,3.8559428390084842
1776,E-Emporium,Orient Electric,3.8461538461538463,4.7384615384615385,3.8538461538461535,4.7384615384615385,4.186131783478069
1777,E-Emporium,Pigeon,2.1999999999999997,4.39,4.14,3.17,2.9881722681935328
1778,E-Emporium,Pigeon by Stovekraft,3.201388888888889,4.367361111111111,4.075694444444444,3.6385416666666663,3.4591258177863944
1779,E-KEY-FILL,Kaspersky,2.625,4.43125,4.045000000000001,4.193333333333334,3.5084421389659304
1780,E-Magic Solutions,Kingston,0.6,4.3999999999999995,4.3999999999999995,4.3999999999999995,3.0444705796556435
1781,E-Magic Solutions,SanDisk,1.7142857142857142,4.300000000000001,4.000000000000001,4.142857142857143,3.1227856863000967
1782,E-SQUARE,Philips,2.831081081081081,4.131756756756757,3.6339189189189183,3.9027702702702705,3.189034004142777
1783,E-Shoptronix,Airtel,2.5,4.25,4.0,4.25,3.3934904643703194
1784,E-Zone Deals,Intex,3.7,4.26,3.2000000000000006,4.26,3.5189945900090644
1785,E-Zone Deals,Zebronics,3.1538461538461537,4.323076923076925,3.8461538461538476,4.323076923076925,3.61291604603005
1786,E-commerce Planet,JT,1.8333333333333335,4.173809523809523,3.6166666666666667,2.725,2.4254587567663273
1787,E-commerce Planet,SmallAll,2.75,4.305000000000001,3.925,3.3375,3.119148388246245
1788,E-kart:The One Stop Shop,Frizzer,2.25,3.6999999999999997,3.3999999999999995,3.6999999999999997,2.650995674838431
1789,E-kart:The One Stop Shop,God Gift,3.333333333333333,4.461904761904762,4.033333333333334,3.6833333333333336,3.5473308809665034
1790,E.V.A.N,Philips,3.8000000000000003,4.503333333333333,3.82,3.81,3.693424827769975
1791,E.V.A.N,Skybags,3.5238095238095237,4.484126984126983,3.993650793650793,3.7587301587301583,3.6343944169681244
1792,E.V.A.N,Titan,3.413793103448276,4.504310344827586,4.012931034482759,3.713362068965517,3.5970993265387023
1793,EASYone,Canon,3.308641975308642,4.534567901234568,4.056790123456789,4.312345679012346,3.824248126263882
1794,EASYone,Epson,3.56,4.382,3.752,4.186,3.684970098009961
1795,EASYone,Kores,3.5,5.0,5.0,5.0,4.677871084096572
1796,ECOM KING,LG,3.421985815602837,4.5398581560283695,4.161702127659576,4.381205673758864,3.924731307970305
1797,ECOM+,Lapcare,3.6,4.446666666666666,3.98,3.7899999999999996,3.649458072477267
1798,ECON SALES,Sony,3.142857142857143,4.914285714285714,4.799999999999999,4.914285714285714,4.424646731344296
1799,EDZARD ENTERPRISES,Classmate,2.5714285714285716,3.857142857142857,3.571428571428572,3.0714285714285716,2.6382272200707497
1800,EEP_SLP,Story@Home,3.892857142857143,4.511904761904762,3.983333333333333,3.9380952380952388,3.8313416158549525
1801,EES EES TRADERS,Prestige,1.75,4.025,3.6999999999999997,4.025,2.864021365982554
1802,EKSHUB ENTERPRISES ET BAZAR,Generic,3.1666666666666665,4.066666666666667,3.600000000000001,4.066666666666667,3.3194234724432814
1803,EL-TRONICS,Kusam Meco,4.5,4.5,3.525,4.0125,3.896196217573887
1804,ELAAR Store,Philips,3.342857142857143,4.415646258503401,3.8382993197278905,3.741598639455782,3.4869367798786772
1805,ELAAR Store,Philips Lighting India,2.0,4.02,3.7199999999999993,2.86,2.4963059399559238
1806,ELECTOMANIA®,Electomania,3.8461538461538463,4.534065934065934,3.876923076923077,3.861538461538461,3.761117623617577
1807,ELECTOMANIA®,Generic,3.0205128205128204,4.322307692307692,3.8594871794871795,3.6053846153846156,3.295719804599059
1808,ELECTRADE,Corsair,3.857142857142857,4.542857142857144,4.200000000000001,4.542857142857144,4.14103194205631
1809,ELECTRO KART,AO Smith,0.8333333333333334,4.0,4.0,4.0,2.6496161182167146
1810,ELECTRO KART,HP,0.625,3.2000000000000006,3.2000000000000006,3.2000000000000006,1.6436748266340229
1811,ELECTRO KART,Sony,0.75,4.1000000000000005,4.1000000000000005,4.1000000000000005,2.740321127328121
1812,ELECTRONIC SCIENCE PROJECTS,GJ,2.833333333333333,4.321428571428571,3.6499999999999995,3.2416666666666667,3.0241771388846805
1813,ELECTRONICS MART INDIA LTD,Eureka Forbes,3.288888888888889,4.155555555555555,3.3333333333333335,3.8666666666666663,3.231989229028952
1814,ELECTRONICS MART INDIA LTD,Panasonic,3.3333333333333335,4.3999999999999995,3.7999999999999994,4.3999999999999995,3.719597447540742
1815,ELECTRONICS PLAZA.,Quechua,1.388888888888889,3.7111111111111104,3.644444444444444,3.3333333333333335,2.319508415762386
1816,ELECTRONIKA,Yamaha,0.6666666666666666,4.2,4.2,4.2,2.8310261364395255
1817,ELEVATE,Cooler Master,2.7199999999999998,4.4769999999999985,4.161999999999999,4.085999999999999,3.5569692327411615
1818,ELEVATE,Netgear,2.8466666666666662,4.1866666666666665,3.8672380952380943,3.899809523809524,3.29563986247593
1819,ELITE BAGS,Skybags,2.142857142857143,4.085714285714285,3.842857142857142,2.992857142857143,2.66437490378805
1820,ELITE BAGS,Titan,2.9681159420289855,4.419710144927536,4.084927536231883,3.526521739130435,3.3676454176713086
1821,EMAZING DEALS,MILTON,4.8,4.8,3.94,4.37,4.4052462126387155
1822,EMAZING DEALS,Topps,4.0,4.428571428571429,3.9666666666666663,3.9833333333333334,3.8400146343929817
1823,EMBEE ENTERPRISES,Tronica,3.0,4.3999999999999995,4.1000000000000005,4.3999999999999995,3.7130564051957164
1824,EMERGING TECHNOLOGIES THRISSUR KERALA INDIA,Generic,2.725,4.2425,3.8925,3.9275000000000007,3.301073811997604
1825,ENERSENSE,Gorilla,5.0,5.0,3.375,4.1875,4.300025292174048
1826,ENSP Online Retail Store,Embroiderymaterial,3.333333333333333,4.169047619047619,3.783333333333334,3.5583333333333336,3.2829937967966725
1827,ENTERTAINMENT HUB,Warner Bros.,3.8,4.38,2.8999999999999995,4.38,3.5515729269102962
1828,ESPIRE,Generic,4.166666666666667,4.566666666666667,4.016666666666667,4.091666666666667,4.014541113974235
1829,ESnipe Mart,ZAAMBUTECH,3.5,4.7,4.3999999999999995,4.7,4.225429619979748
1830,ETAILZONE,Clublaptop,2.857142857142857,4.1571428571428575,3.7000000000000006,4.1571428571428575,3.329670910243848
1831,ETAILZONE,Generic,2.4285714285714284,3.5904761904761906,2.7476190476190476,3.178571428571428,2.2383395284651924
1832,ETAILZONE,MANTRA,3.0,4.416666666666667,3.8000000000000003,3.4,3.232167656943205
1833,EXECLUSIVE STORE,Terabyte,2.7333333333333334,4.1,3.4600000000000004,3.6966666666666663,3.0052598698699917
1834,E_trader,Aai,2.5,4.342857142857143,3.8500000000000005,3.1750000000000003,2.9680233240100664
1835,E_trader,MK,2.857142857142857,4.257142857142857,3.6714285714285713,3.264285714285714,3.0187072211867028
1836,E_trader,RainSound,3.0,4.543333333333333,4.260000000000001,3.6299999999999994,3.532364557538801
1837,E_trader,SmallAll,3.392857142857143,4.407142857142857,4.0,3.696428571428572,3.5356088964558388
1838,E_trader,TRP TRADERS,3.676470588235294,4.363529411764706,3.598823529411765,4.13764705882353,3.643986720372308
1839,Eagle Eye Gadgets,Eagle Eye Gadgets,3.333333333333333,4.276190476190476,3.833333333333333,3.583333333333333,3.3578005621706595
1840,Eagle Eye Gadgets,SJCAM,3.5555555555555554,4.527777777777778,3.913333333333332,4.301111111111111,3.847983553666039
1841,Eagle Information,Dell,2.7941176470588234,4.382352941176471,4.158823529411765,4.017647058823529,3.510366651292394
1842,Eagle Network Supply Pvt. Ltd.,Embroiderymaterial,3.5,4.27,3.65,3.575,3.343902267647776
1843,Eagle Network Supply Pvt. Ltd.,Formula 1,3.0,4.233333333333333,3.9,3.4499999999999997,3.202179657976294
1844,Eagle Network Supply Pvt. Ltd.,Futurekart,3.0588235294117645,4.394117647058823,3.8779411764705873,4.1742647058823525,3.567420483258674
1845,Eagle Network Supply Pvt. Ltd.,Generic,2.681159420289855,4.008695652173913,3.5826086956521737,3.86231884057971,3.0525748702273625
1846,Eagle Network Supply Pvt. Ltd.,Low Price,2.1999999999999997,4.3566666666666665,3.94,3.0700000000000003,2.867471278150701
1847,Eagle Network Supply Pvt. Ltd.,Luzon Dzire,3.1999999999999997,4.196666666666667,3.5800000000000005,3.3900000000000006,3.119472789905295
1848,Easy Home Deals,Eureka Forbes,2.848275862068965,3.981724137931035,3.328275862068966,3.8917241379310354,3.020359884563065
1849,Easy Home Deals,Onida,2.4285714285714284,4.285714285714286,4.0,4.285714285714286,3.4006040555082113
1850,Easy Home Deals,Samsung,3.5,4.507142857142857,3.6499999999999995,3.5749999999999997,3.4510179105196483
1851,Easy Shoppi,SanDisk,2.5,4.449999999999999,3.8999999999999995,4.449999999999999,3.528050816615973
1852,EasyHealth,EasyHealth,2.9523809523809526,4.383333333333334,3.669047619047619,3.310714285714286,3.123442410872537
1853,Easyekart,CABLEGALLERY,2.45,3.5675,2.8674999999999997,3.2525000000000004,2.303579587827432
1854,Easysellers,Titan,2.815686274509804,4.254313725490197,4.101372549019608,3.4585294117647054,3.223208951180031
1855,Ebee®,Ebee,4.75,4.87,3.6499999999999995,4.199999999999999,4.257958425645074
1856,Ebuy365,Canon,4.1,4.728,3.7,4.588,4.152913575239533
1857,Ebuy365,Epson,3.9210526315789473,4.673684210526315,3.6833333333333336,4.31798245614035,3.960671384740132
1858,Ebuy365,HP,3.8461538461538463,4.63076923076923,3.5634615384615382,4.335576923076923,3.884070064379093
1859,Ebuy365,iBall,2.5833333333333335,4.372619047619048,4.158333333333334,3.370833333333333,3.1872046495172146
1860,Ecom-Retails,Anker,3.333333333333333,4.504761904761905,4.033333333333334,3.6833333333333336,3.566689129678288
1861,Ecom-Retails,Canon,3.173076923076923,4.130128205128205,3.900320512820512,3.9597756410256415,3.4089969360383314
1862,Ecom-Retails,Deep Silver,3.0,3.5789473684210527,2.44,3.40421052631579,2.40098755555666
1863,Ecom-Retails,Fitbit,4.2,4.733333333333333,4.0,4.1000000000000005,4.098167229127194
1864,Ecom-Retails,Fuji,2.5714285714285716,3.757142857142857,3.100000000000001,3.757142857142857,2.7017156124019963
1865,Ecom-Retails,FunKo,3.5714285714285716,4.6,3.8714285714285714,3.721428571428571,3.6466696001347
1866,Economically Musical,Bufferman,3.088235294117647,4.402941176470588,4.079411764705881,4.1720588235294125,3.6472899134679837
1867,Ecotail Ventures,Camlin,4.078947368421052,4.5473684210526315,3.961403508771929,4.409649122807018,4.0826918797306995
1868,Ecotail Ventures,Whitelily,2.588235294117647,4.1529411764705895,3.768627450980393,3.5843137254901962,3.0422020014506135
1869,Edinms Technologies,Cosmic Byte,3.75,4.75,4.0,4.75,4.213855302650263
1870,Edinms Technologies,Quick Heal,4.075,4.7875000000000005,4.040000000000001,4.53875,4.266268731839045
1871,Eeasy India,Eureka Forbes,3.1666666666666665,4.092105263157895,3.3131578947368423,3.924122807017544,3.17973784007651
1872,Eeasy India,Inalsa,4.0,4.6499999999999995,3.899999999999999,4.6499999999999995,4.176541001861038
1873,Einstein box,Einstein Box,1.7307692307692308,3.7579487179487177,3.5271794871794873,2.6289743589743586,2.1375860753894638
1874,Ekart4u,FREEMANS,4.333333333333333,4.633333333333334,4.133333333333334,4.233333333333333,4.192018703828552
1875,Eldino India,LG,2.5,4.0,4.0,4.0,3.1835232014385264
1876,Elecronics Hub,X96,2.8,4.28,3.7,4.28,3.414549436602724
1877,Electrama,Philips,3.353333333333333,4.4719999999999995,4.122000000000001,3.7376666666666667,3.6090152361205368
1878,Electrama,Philips Lighting India,4.0,4.71,4.25,4.125,4.116796947969357
1879,Electric-Deals,Boat,2.5,4.6,4.3999999999999995,4.6,3.821098464873944
1880,Electric-Deals,Philips,3.1999999999999997,3.8733333333333335,3.7400000000000007,3.47,3.0579412174599887
1881,Electric-Deals,iBall,3.375,4.425000000000001,3.9562500000000007,4.425000000000001,3.8061503791953726
1882,Electrical Courtyard,Goldmedal,4.666666666666667,4.833333333333333,4.15,4.408333333333334,4.462638425957005
