,Seller,MultiLink,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4765,UniqueComputers,Home Entertainment Systems,3.5,4.766666666666667,4.299999999999999,4.766666666666667,4.297575416119974
4766,Unique_Product,Home Entertainment Systems,4.666666666666666,4.666666666666666,3.8666666666666667,4.266666666666667,4.304581264279172
4767,United Surgical Traders,Diapers,3.0,4.263333333333334,3.98,3.4899999999999998,3.4574731502324356
4768,United Surgical Traders,Janitorial & Sanitation Supplies,3.735294117647059,4.523529411764706,4.091176470588234,4.324999999999999,4.068334024019121
4769,Unitoys,Nursing & Feeding,1.4000000000000001,4.05,4.05,2.7249999999999996,2.693920510882507
4770,Universal Business Company,Office Supplies & Stationery,3.9166666666666665,4.613333333333334,3.766666666666666,4.4350000000000005,4.099852887853556
4771,Universal Store Shopping,Security Cameras,2.6999999999999997,3.9291666666666667,3.34,3.8741666666666674,3.1924416736918655
4772,Unnati International,Office Supplies & Stationery,2.7777777777777777,3.807777777777778,3.18,3.4566666666666674,2.9869835565191436
4773,Upix Inc.,Home Entertainment Systems,2.7126179831097863,4.4506458022851465,4.207518437846305,4.03547804654362,3.6896838975205712
4774,Usha Ayurvedics,"Baby Bath, Skin & Grooming",2.8000000000000003,4.0,3.6999999999999997,3.25,3.143855607729843
4775,Utekar Fisheries Private Limited,Dog supplies,4.0,4.627272727272727,3.878181818181818,3.939090909090909,3.997662283225603
4776,Uthratools,"Test, Measure & Inspect",3.8000000000000003,4.116666666666666,3.6999999999999997,3.75,3.6339600697820753
4777,V K Bartan Bhandar,Kitchen & Home Appliances,3.1470588235294117,4.470588235294118,3.991176470588234,4.269117647058823,3.8361317208615224
4778,V K Bartan Bhandar,Kitchen Storage & Containers,1.8333333333333335,4.133333333333333,4.033333333333332,2.933333333333333,2.911540890097376
4779,V K Steels,Kitchen & Dining,2.1666666666666665,4.080952380952381,3.766666666666666,2.9666666666666663,2.9223100973966725
4780,V K Steels,Kitchen Storage & Containers,2.833333333333333,4.5738095238095235,4.216666666666666,3.5249999999999995,3.606818791942292
4781,V-B-Enterprises,Kitchen & Home Appliances,3.1666666666666665,4.3,3.899999999999999,4.3,3.760933679066989
