,Brand,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
1071,Zebronics-Intel,SUFI ELECTRONICS,3.9688318642278264,SUFI ELECTRONICS,4.333333333333333,yashnetbusiness,4.233333333333333,SUFI ELECTRONICS,4.15,Nallu Infotech,4.642857142857143
1072,Zippo,ONLINEMANTRA,3.948050299297673,ONLINEMANTRA,3.8571428571428568,ONLINEMANTRA,4.057142857142857,ONLINEMANTRA,3.957142857142857,ONLINEMANTRA,4.728571428571429
1073,Zofey,ZOFEY,3.490911913107257,ZOFEY,3.4285714285714284,ZOFEY,3.7428571428571433,ZOFEY,3.585714285714286,ZOFEY,4.571428571428571
1074,Zoook,PINNACLE ELECTRONICS,4.1445798853807565,PINNACLE ELECTRONICS,3.933333333333333,24x7 Shopping,4.2,24x7 Shopping,4.733333333333333,24x7 Shopping,4.733333333333333
1075,a k,MAHADEV SPORTS MEERUT CITY,4.612844090381499,MAHADEV SPORTS MEERUT CITY,5.0,Krishna Creators,4.275,MAHADEV SPORTS MEERUT CITY,4.483333333333333,MAHADEV SPORTS MEERUT CITY,5.0
1076,a k creation,Best_seller_India,3.720247602745257,Best_seller_India,3.571428571428572,Trust Zone 7,4.14,Best_seller_India,3.835714285714286,Best_seller_India,4.500000000000001
1077,beconnected,beconnected,3.7442673082526787,beconnected,2.0,beconnected,4.5,beconnected,4.666666666666667,beconnected,4.666666666666667
1078,billionBAG,billionBAG,2.901160036695273,Appario Retail Private Ltd,2.8545454545454545,billionBAG,3.803030303030303,Appario Retail Private Ltd,3.501818181818181,billionBAG,4.086363636363636
1079,capriff,CapriffIndia™,4.230032878429777,KAS CREATION,4.5,KAS CREATION,4.025,KAS CREATION,4.2625,CapriffIndia™,4.842857142857143
1080,captcha,ZAPTIN ENTERPRISES,3.2724172058115335,ZAPTIN ENTERPRISES,3.4285714285714284,TWOGOOD ENTERPRISES,3.9166666666666674,ZAPTIN ENTERPRISES,3.5,ZAPTIN ENTERPRISES,4.285714285714286
1081,cartup,cartup.,2.214171916408044,cartup.,2.6,cartup.,2.3999999999999995,cartup.,3.4399999999999986,cartup.,3.4399999999999986
1082,cmbear,TRENDING YOUTH TECHNOLOGIES PRIVATE LIMITED,2.6626636798989067,TRENDING YOUTH TECHNOLOGIES PRIVATE LIMITED,2.0,TRENDING YOUTH TECHNOLOGIES PRIVATE LIMITED,3.94,TRENDING YOUTH TECHNOLOGIES PRIVATE LIMITED,2.97,TRENDING YOUTH TECHNOLOGIES PRIVATE LIMITED,4.14
1083,eErlik,Dawn Market,4.048049145211459,Infallible Deals,3.333333333333333,Dawn Market,4.6000000000000005,Dawn Market,4.733333333333333,Dawn Market,4.733333333333333
1084,eHub,eHUB®,3.973070943046179,eHUB®,4.007575757575757,eHUB®,3.875757575757576,eHUB®,4.2280303030303035,eHUB®,4.575757575757575
1085,ekta home appliances,Amazing Shopee,3.925316423300521,Amazing Shopee,3.6666666666666665,Amazing Shopee,4.1000000000000005,KMAX INDIA,4.55,KMAX INDIA,4.55
1086,flying CLOUDS,ALFA Retail Corp,3.809176385300127,ALFA Retail Corp,4.083333333333334,Kukatoo,4.183333333333335,ALFA Retail Corp,3.941666666666667,Kukatoo,4.597619047619048
1087,friends & company,Ayushman Sales and Company,3.458591179178919,Ayushman Sales and Company,3.1333333333333333,Ayushman Sales and Company,4.095999999999999,Ayushman Sales and Company,3.614666666666667,Ayushman Sales and Company,4.425999999999998
1088,happytech,SHOPBOOZ™,3.644471820315304,SHOPBOOZ™,4.0,happytech ® by balaji creation,3.75,SHOPBOOZ™,3.81,SHOPBOOZ™,4.4
1089,hopesunkhc,Cart2India Online,2.691133641592488,Cart2India Online,2.0,Cart2India Online,3.942857142857142,Cart2India Online,2.9714285714285715,Cart2India Online,4.2
