,Product,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
90,"68 cm Hardshell Check-in Size Suitcase, Slate Grey",Cloudtail India,3.7652495280226415,Cloudtail India,3.833333333333333,Cloudtail India,3.9333333333333336,Cloudtail India,3.883333333333333,Cloudtail India,4.504761904761905
91,75 Ltr Military Green Rucksack,Kart Trade,2.8896630969009047,Kart Trade,2.666666666666667,vinod store,4.1000000000000005,Kart Trade,3.2166666666666663,vinod store,4.1000000000000005
92,"78 cm Hardshell Check-in Size Suitcase, Navy Blue",Cloudtail India,3.660347751372,Cloudtail India,4.166666666666667,Cloudtail India,3.416666666666667,Cloudtail India,3.7916666666666674,Cloudtail India,4.495238095238095
93,"9.6"" Fusion5 4G Tablet PC - (Dual 4G SIM, 2GB RAM, 32GB Storage, Phone Calling, 8MP and 2MP Cameras, WiFi, FM, GPS, Quad-Core Processor) (Android 8.1 Oreo)",Fusion5 Tablets,3.6178776721540236,Fusion5 Tablets,3.0,Fusion5 Tablets,4.0,Fusion5 Tablets,4.333333333333333,Fusion5 Tablets,4.333333333333333
94,"A & T Hidden Micro Mini Secret Spy Pen Camera Recorder Dvr VGA 720x480p Kit with No Lights Recording, Up to 32GB SD Card (Silver)",Bonbury,3.2225617423579287,Bonbury,3.6,Creativemarketing,3.308333333333333,Bonbury,3.892307692307692,Bonbury,4.084615384615383
95,"A C SPORTS Stainless Steel Inflating Pump Needle Soccer, Basketball, Football, Inflatable Air Valve Adaptor, 10 Pieces",Sports Hub 1448,3.5594320899183383,FLOWERS ENTERPRISE,3.666666666666667,Sports Hub 1448,4.12,Sports Hub 1448,3.7266666666666666,FLOWERS ENTERPRISE,4.423809523809523
96,A D C O M 38.1 cm/15.1 inch LED Backlit Computer Monitor (Black),Adcom India,3.0663053856961136,Adcom India,3.0,Adcom India,3.1,Adcom India,4.033333333333333,Adcom India,4.033333333333333
97,A K MRF Genius Cricket Bat Sticker Virat Kohli Grand Edition,MAHADEV SPORTS MEERUT CITY,4.608605200597434,MAHADEV SPORTS MEERUT CITY,5.0,Krishna Creators,4.275,MAHADEV SPORTS MEERUT CITY,4.483333333333333,MAHADEV SPORTS MEERUT CITY,5.0
98,A'la Mode Creation Diaper Bag Blue,Excel India Online,2.882481504426667,Excel India Online,2.833333333333333,BabyBasics,4.3,Excel India Online,3.186666666666667,BabyBasics,4.3
99,ABS 55 cms Black Hardsided Cabin Luggage (00345080100),Cloudtail India,3.1681429695550536,Cloudtail India,3.333333333333333,Cloudtail India,3.6,Cloudtail India,3.4666666666666663,Cloudtail India,4.142857142857143
100,ABS 55 cms Blue Hardsided Cabin Luggage (00345080102),Cloudtail India,3.729948918265385,Cloudtail India,4.0,Cloudtail India,3.775,Cloudtail India,3.8875,Cloudtail India,4.42
101,ABS AUTO TREND Matty Grey Car Cover Maruti Suzuki Swift Old (Free Microfibre),SHREE JI TM,3.6083772176899744,SHREE JI TM,4.0,ABS-Tradelink,3.92,SHREE JI TM,3.95,ABS-Tradelink,4.153333333333333
102,ABYS Genuine Leather Passport Wallet||Cheque Book Holder||Travel Wallet||Card Holder||Debit Card Holder||Card Case with Metallic Zip Closure,L. B. PRINERS,3.835653036022463,L. B. PRINERS,4.4,L. B. PRINERS,3.6,L. B. PRINERS,4.0,L. B. PRINERS,4.4
103,ACTIVA 1200 MM HIGH Speed BEE Approved 5 Star Rated APSRA Ceiling Fan Brown- 2 Year Warranty,SHOP 24/7,4.2358082861417525,SHOP 24/7,3.6666666666666665,SHOP 24/7,4.325,SHOP 24/7,4.495833333333334,SHOP 24/7,4.8500000000000005
104,ACTIVA 1200 MM HIGH Speed BEE Approved 5 Star Rated APSRA Ceiling Fan White- 2 Year Warranty,SHOP 24/7,3.1798544651008562,SHOP 24/7,2.833333333333333,SHOP 24/7,3.916666666666667,SHOP 24/7,3.375,SHOP 24/7,4.373809523809524
105,AMG Digital Noise Cancellation Collar Mic With Clip Best Mic For Youtuber Microphone For Singing Karaoke Which Support In PC Laptop Phone And Tablet Mic With 1.2 M Wire,AMG Digital Store,3.564278623549105,AMG Digital Store,4.0,teleform,4.000000000000001,AMG Digital Store,3.733333333333334,AMG Digital Store,4.414285714285714
106,AO Smith HSE-SDS-15 15-Litre 2000-Watt Vertical Water Heater (Multicolor),a to z appliances.,3.811960267269832,FESTIVALS_ STORE,3.4285714285714284,a to z appliances.,4.119999999999999,a to z appliances.,4.187272727272727,a to z appliances.,4.556363636363637
107,AO Smith HSE-VAS-015-15-Litre Storage Water Heater (White),Galaxy Shopee,3.9741132714226737,Galaxy Shopee,4.0,VPLONLINE,4.116666666666666,Galaxy Shopee,4.0,Galaxy Shopee,4.7
108,"AOC 18.5Inch LED Backlit E970SWNL Computer Monitor, black",M.P.Enterprises,3.741932220606552,M.P.Enterprises,3.625,M.P.Enterprises,3.6000000000000005,M.P.Enterprises,4.4,M.P.Enterprises,4.4
109,APACS Dual Power and Speed Version Badminton Racket-Unstrung Badminton Racket,Triple Point Ventures,4.3045862428307435,Triple Point Ventures,4.666666666666666,Triple Point Ventures,4.0,Triple Point Ventures,4.333333333333334,Triple Point Ventures,4.666666666666666
110,APPUCOCO Mini Car Trash Bin Can Holder Dustbin - Black,MAXBOOST,3.430185226273289,MAXBOOST,3.6,MAXBOOST,3.8,MAXBOOST,3.7,MAXBOOST,4.183333333333334
