web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551204481-18229","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Lingerie & Nightwear","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_lingerie?ie=UTF8&node=11400136031","Dilency Sales® Womens/Girls Padded No Shoulder Lace-Back Cross Breast Wrapped.(Free Size- 30-36) Removable Pads","https://www.amazon.in/Dilency-Sales-Shoulder-Wrapped-Removable/dp/B07GXSJLY2/ref=lp_11400136031_1_16?s=apparel&ie=UTF8&qid=1551204218&sr=1-16","","","null","4.2 out of 5 stars","Bras","null","","","","",""
"1551196684-765","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_designerstore?ie=UTF8&node=6172354031","Women's Animal Print Regular fit Top","https://www.amazon.in/global-desi-Womens-Regular-EC18G335TPRYMUSTARDM_Mustard_Medium/dp/B07M8RXVM6/ref=sr_1_56?s=apparel&ie=UTF8&qid=1551196332&sr=1-56","Next Page","https://www.amazon.in/s/ref=lp_6172354031_pg_2?rh=n%3A6648217031%2Cn%3A%216648222031%2Cn%3A%216648224031%2Cn%3A6172354031&page=2&ie=UTF8&qid=1551196298","null","null","Tops, T-Shirts & Shirts","null","","","","",""
"1551196889-1295","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_designerstore?ie=UTF8&node=6172354031","Rohit Bal Brown Men's Wallet (9973)","https://www.amazon.in/Rohit-Bal-Brown-Mens-Wallet/dp/B072JGWY64/ref=lp_6172354031_1_30?s=apparel&ie=UTF8&qid=1551196298&sr=1-30","","","ROHIT BAL","null","null","1 offer","https://www.amazon.in/gp/offer-listing/B072JGWY64/ref=dp_olp_new?ie=UTF8&condition=new","Spicestyle Powered by SpiceJet Ltd.","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B072JGWY64&isAmazonFulfilled=1&seller=A67E6L5OC4D37","","4 out of 5 stars"
"1551202883-13127","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Handbags & Clutches","https://www.amazon.in/Handbags-Clutches/b/ref=sd_allcat_sbc_wfashion_handbags?ie=UTF8&node=1983338031","Women's Sling Bag (Yellow)","https://www.amazon.in/Van-Heusen-Woman-Womens-Yellow/dp/B07L62YBKL/ref=sr_1_89?s=shoes&ie=UTF8&qid=1551202840&sr=1-89","Next Page","https://www.amazon.in/s/ref=lp_1983338031_pg_2?rh=n%3A1571283031%2Cn%3A%211571284031%2Cn%3A1983338031&page=2&ie=UTF8&qid=1551202828","null","null","null","null","","","","",""
"1551201036-8996","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_wfashion_sunglasses?ie=UTF8&node=1968401031","UV Protected Silver Blue Aviator Sunglasses for Men Women (Gn-3002-Sil-Blu|Blue)","https://www.amazon.in/Gansta-Protected-Aviator-Sunglasses-Gn-3002-Sil-Blu/dp/B015U83I6Y/ref=lp_1968401031_1_39?s=apparel&ie=UTF8&qid=1551200820&sr=1-39","","","null","3.4 out of 5 stars","Sunglasses","null","","","","",""
"1551199984-6183","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fashion Sandals","https://www.amazon.in/Fashion-Sandals-Women/b/ref=sd_allcat_sbc_wfashion_sandals?ie=UTF8&node=1983633031","V Heels/Wedges for Women - 3 inches Heel","https://www.amazon.in/TRASE-Metal-Black-Wedges-Women-5/dp/B07G53GH3T/ref=sr_1_59?s=shoes&ie=UTF8&qid=1551199648&sr=1-59","Next Page","https://www.amazon.in/s/ref=lp_1983633031_pg_2?rh=n%3A1571283031%2Cn%3A%211571284031%2Cn%3A1983396031%2Cn%3A1983578031%2Cn%3A1983633031&page=2&ie=UTF8&qid=1551199628","null","4.5 out of 5 stars","Fashion Sandals","null","","","","",""
"1551202731-12705","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Gold & Diamond Jewellery","https://www.amazon.in/Precious-Jewellery/b/ref=sd_allcat_sbc_wfashion_jewelry?ie=UTF8&node=5210069031","Malabar Gold and Diamonds BIS hallmarked 2 gm, 24KT (999) Yellow Gold Bar","https://www.amazon.in/Malabar-Gold-Diamonds-hallmarked-Yellow/dp/B07MBCXF3T/ref=lp_5210069031_1_27?s=jewelry&ie=UTF8&qid=1551202416&sr=1-27","","","null","2.6 out of 5 stars","null","null","","","","",""
"1551203147-13870","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Handbags & Clutches","https://www.amazon.in/Handbags-Clutches/b/ref=sd_allcat_sbc_wfashion_handbags?ie=UTF8&node=1983338031","MARMA Women's Sling Bag (Beige)","https://www.amazon.in/Lavie-MARMA-Womens-Sling-Beige/dp/B07KMM6C76/ref=sr_1_54?s=shoes&ie=UTF8&qid=1551202840&sr=1-54","Next Page","https://www.amazon.in/s/ref=lp_1983338031_pg_2?rh=n%3A1571283031%2Cn%3A%211571284031%2Cn%3A1983338031&page=2&ie=UTF8&qid=1551202828","null","null","null","null","","","","",""
"1551196926-1401","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_designerstore?ie=UTF8&node=6172354031","Women's Candy Colorblock Pink And Orange Tri Color Swimsuit","https://www.amazon.in/Nidhi-Munim-Womens-Piece-NMMTR27_M_Multicolour/dp/B0725CFDQT/ref=lp_6172354031_1_23?s=apparel&ie=UTF8&qid=1551196298&sr=1-23","","","null","1.0 out of 5 stars","Swimsuits","null","","","","",""
"1551204387-17898","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Lingerie & Nightwear","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_lingerie?ie=UTF8&node=11400136031","Satin Women Nightwear and Bikini Set 221M-07","https://www.amazon.in/Klamotten-Satin-Nightwear-Bikini-221M-07/dp/B07387YWV6/ref=lp_11400136031_1_48?s=apparel&ie=UTF8&qid=1551204218&sr=1-48","","","null","3.0 out of 5 stars","Babydolls","null","","","","",""
